"","country"
"1","Australia"
"2","Austria"
"3","Belgium"
"4","Britain"
"5","Bulgaria"
"6","Canada"
"7","Chile"
"8","Colombia"
"9","Croatia"
"10","Cyprus"
"11","Czech Republic"
"12","Denmark"
"13","Ecuador"
"14","Estonia"
"15","Finland"
"16","France"
"17","Germany"
"18","Greece"
"19","Hungary"
"20","Iceland"
"21","Israel"
"22","Italy"
"23","Latvia"
"24","Lithuania"
"25","Luxembourg"
"26","Malta"
"27","Mexico"
"28","Netherlands"
"29","New Zealand"
"30","Norway"
"31","Peru"
"32","Poland"
"33","Portugal"
"34","Romania"
"35","Slovakia"
"36","Slovenia"
"37","South Africa"
"38","South Korea"
"39","Spain"
"40","Sweden"
"41","Switzerland"
"42","Tunisia"
"43","Turkey"
"44","United States"
